trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-101.93739147604674,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-214.54505453287004,"{0: 8, 1: 3, 2: 3, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-124.81688374059966,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-106.45305287222182,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-112.89267906319094,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-101.3960450527463,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-61.53054648885643,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-100.0191504022277,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-47.73627255711688,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-226.79432730681793,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-134.5230131454014,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-61.305685572565196,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,2,-24.83148860716806,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,17,-25.546263325309866,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-112.05260623202766,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,14.178024651390462,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-91.43354209760827,"{0: 23, 1: 2, 2: 1, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-126.85504971711602,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,16,24.87847387646277,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,4.181184435897883,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-26.652134951272313,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-29.738264861969697,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,2,-10.411920977454853,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-16.56324191530305,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,13,-29.247526047443824,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,0,1.4700960271627455,"{0: 27, 1: 2, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-50.31898011664201,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-80.74288584922866,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,12,-6.074938706611186,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,27.81054536372749,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
