trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 0.9900498337491681}",30,6,-109.01117081161827,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 2}",1
2,False,"{'a': 0.02, 'e': 0.9801986733067553}",25,0,-130.98226950632906,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.02, 'e': 0.9704455335485082}",25,0,-75.77782063255589,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.02, 'e': 0.9607894391523232}",35,22,14.04502973540602,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.02, 'e': 0.951229424500714}",25,0,-91.74689608207835,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.02, 'e': 0.9417645335842487}",25,0,-173.01033136209844,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
7,False,"{'a': 0.02, 'e': 0.9323938199059483}",20,0,-36.25901500576889,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.02, 'e': 0.9231163463866358}",25,10,-119.43328471963044,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 3}",1
9,False,"{'a': 0.02, 'e': 0.9139311852712282}",25,0,-85.11270044533582,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.02, 'e': 0.9048374180359595}",25,0,-124.4120319965395,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.02, 'e': 0.8958341352965282}",20,0,-106.80193690358348,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
12,False,"{'a': 0.02, 'e': 0.8869204367171575}",25,0,-170.6163116018369,"{0: 10, 1: 4, 2: 8, 3: 2, 4: 1}",0
13,False,"{'a': 0.02, 'e': 0.8780954309205613}",20,0,-25.606808060762553,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.02, 'e': 0.8693582353988059}",20,0,-190.40185391991827,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.02, 'e': 0.8607079764250578}",20,0,-69.1431921209972,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.02, 'e': 0.8521437889662113}",25,0,-132.17791944335025,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.02, 'e': 0.8436648165963837}",30,0,-141.23664090645372,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
18,False,"{'a': 0.02, 'e': 0.835270211411272}",20,0,-88.93689579125005,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.02, 'e': 0.8269591339433623}",30,0,-94.42676597218033,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.02, 'e': 0.8187307530779818}",20,0,-123.500384199674,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.02, 'e': 0.8105842459701871}",25,12,-4.036845865342027,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.02, 'e': 0.8025187979624785}",30,0,-66.15216208623278,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
23,False,"{'a': 0.02, 'e': 0.794533602503334}",25,0,-189.3255945078916,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
24,False,"{'a': 0.02, 'e': 0.7866278610665535}",25,2,-143.33396248658255,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 3}",1
25,False,"{'a': 0.02, 'e': 0.7788007830714049}",20,8,-39.45961874792507,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.02, 'e': 0.7710515858035663}",20,0,-93.15985924046015,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.02, 'e': 0.7633794943368531}",35,0,-206.83412534231368,"{0: 22, 1: 4, 2: 5, 3: 0, 4: 4}",0
28,False,"{'a': 0.02, 'e': 0.7557837414557255}",25,12,-3.9240622212645615,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.02, 'e': 0.7482635675785653}",20,0,-16.686711534082136,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
30,False,"{'a': 0.02, 'e': 0.7408182206817179}",20,0,-124.70421316672082,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
31,False,"{'a': 0.02, 'e': 0.7334469562242892}",20,11,9.687454017312557,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.02, 'e': 0.7261490370736909}",25,0,-130.76924669566233,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
33,False,"{'a': 0.02, 'e': 0.7189237334319262}",20,6,-45.2487867113219,"{0: 7, 1: 3, 2: 4, 3: 0, 4: 0}",1
34,False,"{'a': 0.02, 'e': 0.7117703227626097}",35,0,-177.4704674528975,"{0: 25, 1: 2, 2: 4, 3: 0, 4: 4}",0
35,False,"{'a': 0.02, 'e': 0.7046880897187134}",20,0,-68.66147303277242,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
36,False,"{'a': 0.02, 'e': 0.697676326071031}",20,0,-84.26340703266742,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.02, 'e': 0.6907343306373547}",20,9,-39.52483094470239,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 0}",1
38,False,"{'a': 0.02, 'e': 0.6838614092123558}",20,0,-5.381630615655664,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.02, 'e': 0.6770568744981647}",20,0,-172.08168155413878,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
40,False,"{'a': 0.02, 'e': 0.6703200460356393}",25,0,-194.03198591065927,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
41,False,"{'a': 0.02, 'e': 0.6636502501363194}",20,0,-100.64858864955174,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.02, 'e': 0.6570468198150567}",20,0,-72.78795656245632,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.02, 'e': 0.6505090947233165}",25,0,-150.50156636923543,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
44,False,"{'a': 0.02, 'e': 0.6440364210831414}",20,0,-45.67288551689447,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.02, 'e': 0.6376281516217733}",30,0,-108.26702827246082,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
46,False,"{'a': 0.02, 'e': 0.631283645506926}",20,0,-78.91288727991194,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.02, 'e': 0.6250022682827008}",25,0,-98.31252666038256,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
48,False,"{'a': 0.02, 'e': 0.6187833918061408}",20,0,-51.102089833266575,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.02, 'e': 0.6126263941844161}",25,0,-178.68278814433302,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
50,False,"{'a': 0.02, 'e': 0.6065306597126334}",25,0,-43.87369329921329,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.02, 'e': 0.6004955788122659}",20,0,-75.86084346312981,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
52,False,"{'a': 0.02, 'e': 0.5945205479701944}",30,0,-129.7842170290905,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
53,False,"{'a': 0.02, 'e': 0.5886049696783552}",30,0,-15.541491286684387,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
54,False,"{'a': 0.02, 'e': 0.5827482523739896}",25,13,-53.11353066199787,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
55,False,"{'a': 0.02, 'e': 0.5769498103804866}",20,0,-96.5825711723777,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
56,False,"{'a': 0.02, 'e': 0.5712090638488149}",20,13,-42.0607793189021,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
57,False,"{'a': 0.02, 'e': 0.5655254386995371}",20,0,-89.2803639997638,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
58,False,"{'a': 0.02, 'e': 0.559898366565402}",20,0,-12.947256174157383,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.02, 'e': 0.5543272847345071}",20,0,-103.66697096387053,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
60,False,"{'a': 0.02, 'e': 0.5488116360940265}",20,0,-125.34364908248652,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
61,False,"{'a': 0.02, 'e': 0.5433508690744998}",35,23,-20.776461394840002,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.02, 'e': 0.5379444375946745}",25,11,11.799755443773115,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.02, 'e': 0.5325918010068972}",30,0,-117.68472814676706,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
64,False,"{'a': 0.02, 'e': 0.5272924240430485}",25,0,-44.89962291087911,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.02, 'e': 0.522045776761016}",25,18,13.250283444924662,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.02, 'e': 0.5168513344916992}",25,0,-107.90103402572056,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
67,False,"{'a': 0.02, 'e': 0.5117085777865424}",20,1,-26.482014554755292,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
